#,question
0,Which presidential administration developed Safe Harbor policy?
1,How many individual colleges are part of Notre Dame?
2,Where was the capital moved to?
3,Where could you read this information?
4,What did parents do when the wages were finally raised?
5,"Where do many ground birds, such as quails and pheasants, roost?"
6,What percentage of children age 6-14 attend an institution of education?
7,Who suggested research into the possibility of a Greek nuclear power plant should begin?
8,With whom did von Neuman work on a paper in 1936 that introduce quantum logic?
9,By what century in France had the men of letters fused with the elites?
10,What is the florida climate 
11,Why is Brazil an exception?
12,What is an important benefit to using copper as an architectural material?
13,Who assists the FBI director?
14,The pitch of complex tones can be?
15,When did John recreate a version of Henry II's Assize of Arms?
16,When did Queen end their contract with Capitol?
17,What was the Scientific Revolution?
18,What troops arrived in mid-June 1940?
19,What StudioCanal film received an Academy Award nomination?
20,What type of weather is a rarity in Houston?
21,"If TB infection spreads to the central nervous system, what is it called?"
22,At what other KU campus is a four year program available?
23,"Along with the Joint UN Commands, ROKA and KPA, what country also still patrols the demilitarized zone?"
24,What document did Foreign Minister de Brum present at the 44th Pacific Islands Forum summit?
25,Which companies revealed Spectre's official car?
26,What song did Beyonce contribute to the campaign?
27,"What feature survives in the Hill Lane area as evidence of the Didcot, Newbury and Southampton Railway's work?"
28,Where do the Canadian Rangers operate?
29,What caused Hayek to turn away from Wiser's ideology?
30,Where was Jim Foster when he came up with the idea for arena football?
31,What is Uruguay's oldest theater? 
32,Where is the Centro Cultural Universitario?
33,What type of mission was the birthplace of the modern Pentecostal movement?
34,In which Canadian province were the oldest woody plants found?
35,Apollo 11 mission was to land where on the Moon?
36,The study of the humanities at the end of the early modern period replaced the study of the work of what individual?
37,What is a pharynx?
38,What is the name of the multi-stage international cycling event held throughout Eritrea?
39,What type of animal was being protected in the area that received the first HCP?
40,In what capacity did Elizabeth serve in the Auxiliary?
41,People who have cats or dogs make fewer visits where?
42,Who supported van Praag's beliefs? 
43,"How many free game downloads were included in the ""Welcome Back"" program?"
44,What did Frédéric compose after hearing Niccolò Paganini perform on the violin?
45,How many pages had Darwin's sketch grown to in 1844?
46,What was challenged in 2012 
47,Why are average trip distances so lengthy in San Diego?
48,When did the crucial climax of the civil war occur?
49,What property does the final patina on cooper have?
50,"In 2002, the Sun provided more energy in one hour than humans used in what span of time?"
51,What did Ulam think of von Nuemann's cognitive ability?
52,How often does Namibia conduct a census?
53,What is unique about the method used for assention allowed by the Royal Assent Act 1967?
54,What is the name of the region which is home to Dungarpur?
55,What brought African Americans together?
56,When was Burke's final publication?
57,How many volumes are contained in Nepal's National Library?
58,What does the experience of pain have throughout cultures?
59,What was stated in the press conference?
60,Who led the founders of the Barcelona football club?
61,What Country are the Alps located in?
62,What is the definition of ASCII?
63,Those with low levels of identity diffusion are classified as what?
64,"Along with various behaviors and physical attributes, what were domestic dogs bred for?"
65,Who wrote a skeptical work outlining magic and its use?
66,Which disease became prevalent among infants in the United States as an effect of processed foods?
67,What football team is Utrecht home to
68,Who was the teacher at the first madrasa?
69,The standard description of measurement in quantum mechanics is what?
70,When did One Thousand and One Nights first get translated in the West?
71,What genre was 'True Love'?
72,What was the City of Boston's name before it was the City of Boston?
73,To who did Kanye state that Beck should hand his award over to?
74,Where can you find zinc chloride?
75,In what year was the Notre Dame College of Science formed?
76,What did many Presbyterian churches introduce as a result of modifying prescriptions? 
77,When were plans for city expansion drawn?
78,What rationale did asset managers who continued to invest in over-priced investments to the detriment of their clients use?
79,What was the reason for seppuku?
80,How many contestants made it past the first round of auditions?
81,What was the population of Plymouth unitary authority circa 2001?
82,What year was Locomotive #1673 made in?
83,"What is the total coverage of the city with roads, in miles?"
84,What are assisted launch mechanisms primarily used for?
85,"What was one of the things the Federal Food, Drug and Cosmetic Act do?"
86,What is Brazil's capital?
87,How many Square miles is St. John's?
88,How is steel produced?
89,"Were Ashkenazi Jews found to be a more or less genetically divergent population than Russians, Orcadians, French, and Basques?"
90,"Did all AV receivers carry the demodulator circuits necessary for LaserDiscs, or only high-end models?"
91,Where are dioxins stored in our animal sources of food?
92,Where did the British initially establish a trading base?
93,"Because of the relay issues, IOC decided to no longer have what in subsequent Olympics?"
94,Who occupied the role that would later become prime minister under Henry VIII?
95,How many agricultural products in 2012 was Iran a top 5 producer in the world? Answer: 12
96,Who was the Mirror of Twilight used to fight prior to Zant?
97,What inter-city exhibition game did Chicago have?
98,Who was Apollo's twin sister?
99,What did Panorama say was the documented reason Eton was eligible for farming subsidies?
